huc_6,pca,huc_pca_ratio,pca_huc_ratio
110800,34,0.00428699773808014,0.000946042414895311
110800,47,0.129296884340397,0.0753264784726611
110800,31,0.865973192010379,0.107827352496358
130301,31,0.97976687247177,0.048254098401217
130301,59,0.0202331275282016,0.0995695600015376
120500,47,0.18698048412887,0.126640092285237
120500,48,0.548694902287806,0.228793903286728
120500,60,0.264324613583325,0.180023532760765
121101,64,0.108348980184417,0.0647518733633566
121101,65,0.85514566262825,0.355899110209424
101900,34,0.0588990192457953,0.0251766968247485
101900,40,0.0167571665665324,0.00797454044798437
101900,24,0.0843867296311931,0.0645811819084747
101900,33,0.724562737142912,0.368040817882137
101900,39,0.115394347413581,0.14245601346603
102701,53,0.998710278569774,0.089490142814473
110702,56,0.030761391343397,0.0270092745374228
110702,53,0.501901419830487,0.102234400435918
110702,55,0.231513792829662,0.2033559751121
110702,51,0.235823395996417,0.25151046719504
111101,56,0.221003919464598,0.114861407481484
111101,50,0.379470103711303,0.0538780761484294
111101,51,0.399525976824098,0.252221096904882
030401,118,0.0173395692826547,0.00984933891236221
030401,97,0.898939673752563,0.311225470737372
030401,96,0.00113670561139658,0.000338719052772872
030401,98,0.082584051353365,0.0190665069644439
071200,79,0.0970748334851787,0.279985240768988
071200,80,0.509866998296755,0.440493607436379
071200,83,0.110876162364765,0.0902211094694096
111203,48,0.453258704810804,0.0670661651367152
111203,50,0.546741295189193,0.0536868884705745
121001,64,0.688047772258404,0.0568009248343201
121001,65,0.311952227741256,0.0179342905134637
101101,37,0.240466236958122,0.0496481309578272
101101,36,0.759533763041884,0.176044377774592
040801,103,0.99999999966308,0.0677645898140689
150702,28,0.822200939441336,0.072140832028959
150702,30,0.177799060558664,0.119469450424375
050902,110,2.91301722190924e-05,3.53313292092446e-05
050902,109,0.220677204627983,0.0562438888726497
050902,114,0.303431358761582,0.712691919849379
050902,112,0.161158916330426,0.0309013837371806
050902,107,0.152872907975234,0.0503247947087317
070801,80,0.0167947465295191,0.0136813603911392
070801,71,1.60243800343858e-09,2.86763639234221e-09
070801,70,0.6499441370529,0.247499026251152
170101,14,0.225606666765689,0.140143223876236
170101,17,0.774393332983992,0.0996618450746498
160402,7,0.0692701250134377,0.0256783283551505
121004,65,0.997535401637289,0.113906322407481
