huc_8,huc_6,huc_4,huc_2
1010002,10100,101,1
1010003,10100,101,1
1010004,10100,101,1
1010005,10100,101,1
1010006,10100,101,1
1010007,10100,101,1
1010008,10100,101,1
1010009,10100,101,1
1010010,10100,101,1
1010011,10100,101,1
1020001,10200,102,1
1020002,10200,102,1
1020003,10200,102,1
1020004,10200,102,1
1020005,10200,102,1
1030001,10300,103,1
1030002,10300,103,1
1030003,10300,103,1
1040001,10400,104,1
1040002,10400,104,1
1050001,10500,105,1
1050002,10500,105,1
1050003,10500,105,1
1050004,10500,105,1
1060001,10600,106,1
1060002,10600,106,1
1060003,10600,106,1
1070001,10700,107,1
1070002,10700,107,1
1070003,10700,107,1
1070004,10700,107,1
1070005,10700,107,1
1070006,10700,107,1
1080101,10801,108,1
1080102,10801,108,1
1080103,10801,108,1
1080104,10801,108,1
1080105,10801,108,1
1080106,10801,108,1
1080107,10801,108,1
1080201,10802,108,1
1080202,10802,108,1
1080203,10802,108,1
1080204,10802,108,1
1080205,10802,108,1
1080206,10802,108,1
1080207,10802,108,1
1090001,10900,109,1
1090002,10900,109,1
1090003,10900,109,1
1090004,10900,109,1
1090005,10900,109,1
1100001,11000,110,1
1100002,11000,110,1
1100003,11000,110,1
1100004,11000,110,1
1100005,11000,110,1
1100006,11000,110,1
2020001,20200,202,2
2020002,20200,202,2
2020003,20200,202,2
2020004,20200,202,2
2020005,20200,202,2
2020006,20200,202,2
2020007,20200,202,2
2020008,20200,202,2
2030101,20301,203,2
2030102,20301,203,2
2030103,20301,203,2
2030104,20301,203,2
2030105,20301,203,2
2030201,20302,203,2
2030202,20302,203,2
2030203,20302,203,2
2040101,20401,204,2
2040102,20401,204,2
2040103,20401,204,2
2040104,20401,204,2
2040105,20401,204,2
2040106,20401,204,2
2040201,20402,204,2
2040202,20402,204,2
2040203,20402,204,2
2040204,20402,204,2
2040205,20402,204,2
2040206,20402,204,2
2040207,20402,204,2
2040301,20403,204,2
2040302,20403,204,2
2040303,20403,204,2
2040304,20403,204,2
2050101,20501,205,2
2050102,20501,205,2
2050103,20501,205,2
2050104,20501,205,2
2050105,20501,205,2
2050106,20501,205,2
2050107,20501,205,2
